"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","SrcMemType","DstMemType","Device","Context","Stream","Name","Correlation_ID","l2_tex_read_transactions","l2_tex_read_hit_rate","l2_tex_write_transactions","l2_tex_write_hit_rate"
ms,ms,,,,,,,,KB,KB,MB,GB/s,,,,,,,,,%,,%
14259.950619,0.003770,197,1,1,256,1,1,16,0.000000,0.000000,,,,,"Tesla V100-DGXS-32GB (0)","1","7","void cask_cudnn::computeOffsetsKernel<bool=0, bool=0>(cask_cudnn::ComputeOffsetsParams)",2415,0,0.000000,10978,100.000000
14763.576769,0.767260,12544,1,1,128,1,1,128,16.000000,0.000000,,,,,"Tesla V100-DGXS-32GB (0)","1","7","volta_scudnn_128x64_relu_medium_nn_v1",2416,2894461,71.510758,12845056,0.000000
15285.951927,1.001265,401408,1,1,64,1,1,22,0.000000,0.000000,,,,,"Tesla V100-DGXS-32GB (0)","1","7","void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float, float>, at::detail::Array<char*, int=3>, OffsetCalculator<int=2, unsigned int, bool=0>, OffsetCalculator<int=1, unsigned int, bool=0>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, float, float, at::native::AddFunctor<float, float>, char*, int=3, at::detail::Array<char*, int=3>)",2420,12852389,0.055445,12845056,99.304666
15820.938613,1.000294,401408,1,1,64,1,1,18,0.000000,0.000000,,,,,"Tesla V100-DGXS-32GB (0)","1","7","_ZN2at6native29vectorized_elementwise_kernelILi4EZZZNS0_84_GLOBAL__N__60_tmpxft_00003bf5_00000000_13_TensorCompare_compute_86_cpp1_ii_d0af11f728clamp_min_scalar_kernel_implERNS_14TensorIteratorEN3c106ScalarEENKUlvE_clEvENKUlvE6_clEvEUlfE_NS_6detail5ArrayIPcLi2EEEEEviT0_T1_",2426,12845056,0.000000,12845056,92.829148
16351.501908,0.003717,2,16,1,32,4,1,40,8.500000,0.000000,,,,,"Tesla V100-DGXS-32GB (0)","1","7","void cudnn::winograd::generateWinogradTilesKernel<int=0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<float, float>)",2439,5120,39.921875,8192,100.000000
16857.600182,5.586926,64,28,14,256,1,1,126,48.000000,0.000000,,,,,"Tesla V100-DGXS-32GB (0)","1","7","volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1",2441,163871664,79.513895,12845056,0.000000
17388.897386,1.000785,401408,1,1,64,1,1,22,0.000000,0.000000,,,,,"Tesla V100-DGXS-32GB (0)","1","7","void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float, float>, at::detail::Array<char*, int=3>, OffsetCalculator<int=2, unsigned int, bool=0>, OffsetCalculator<int=1, unsigned int, bool=0>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, float, float, at::native::AddFunctor<float, float>, char*, int=3, at::detail::Array<char*, int=3>)",2445,12852392,0.056612,12845056,99.258049
17919.026703,1.000630,401408,1,1,64,1,1,18,0.000000,0.000000,,,,,"Tesla V100-DGXS-32GB (0)","1","7","_ZN2at6native29vectorized_elementwise_kernelILi4EZZZNS0_84_GLOBAL__N__60_tmpxft_00003bf5_00000000_13_TensorCompare_compute_86_cpp1_ii_d0af11f728clamp_min_scalar_kernel_implERNS_14TensorIteratorEN3c106ScalarEENKUlvE_clEvENKUlvE6_clEvEUlfE_NS_6detail5ArrayIPcLi2EEEEEviT0_T1_",2451,12845056,0.000000,12845056,97.000184
18432.678563,0.925458,100352,1,1,256,1,1,23,0.000000,0.000000,,,,,"Tesla V100-DGXS-32GB (0)","1","7","void at::native::_GLOBAL__N__63_tmpxft_00007dfa_00000000_13_DilatedMaxPool2d_compute_86_cpp1_ii_6258b574::max_pool_forward_nchw<float, float>(int, float const *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, at::native::_GLOBAL__N__63_tmpxft_00007dfa_00000000_13_DilatedMaxPool2d_compute_86_cpp1_ii_6258b574::max_pool_forward_nchw<float, float>*, long*)",2460,14406828,10.748792,9633792,0.000000
18946.824209,0.003816,4,16,1,32,4,1,40,8.500000,0.000000,,,,,"Tesla V100-DGXS-32GB (0)","1","7","void cudnn::winograd::generateWinogradTilesKernel<int=0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<float, float>)",2472,10240,100.000000,16384,100.000000
19442.422731,2.675641,128,14,7,256,1,1,126,48.000000,0.000000,,,,,"Tesla V100-DGXS-32GB (0)","1","7","volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1",2474,80621332,90.433428,6422528,0.000156
19966.282220,0.503320,200704,1,1,64,1,1,22,0.000000,0.000000,,,,,"Tesla V100-DGXS-32GB (0)","1","7","void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float, float>, at::detail::Array<char*, int=3>, OffsetCalculator<int=2, unsigned int, bool=0>, OffsetCalculator<int=1, unsigned int, bool=0>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, float, float, at::native::AddFunctor<float, float>, char*, int=3, at::detail::Array<char*, int=3>)",2478,6430283,0.117382,6422528,99.304511
20483.884614,0.502104,200704,1,1,64,1,1,18,0.000000,0.000000,,,,,"Tesla V100-DGXS-32GB (0)","1","7","_ZN2at6native29vectorized_elementwise_kernelILi4EZZZNS0_84_GLOBAL__N__60_tmpxft_00003bf5_00000000_13_TensorCompare_compute_86_cpp1_ii_d0af11f728clamp_min_scalar_kernel_implERNS_14TensorIteratorEN3c106ScalarEENKUlvE_clEvENKUlvE6_clEvEUlfE_NS_6detail5ArrayIPcLi2EEEEEviT0_T1_",2484,6422528,0.000000,6422528,92.611258
20995.584247,0.998145,98,128,1,256,1,1,64,22.125000,0.000000,,,,,"Tesla V100-DGXS-32GB (0)","1","7","void cudnn::winograd_nonfused::winogradForwardData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<float, float>)",2497,14503185,66.465862,14450688,0.000000
21519.319737,0.006826,4,16,1,32,8,1,32,9.000000,0.000000,,,,,"Tesla V100-DGXS-32GB (0)","1","7","void cudnn::winograd_nonfused::winogradForwardFilter4x4<float, float>(cudnn::winograd_nonfused::WinogradFilterParams<float, float>)",2498,18432,0.000000,73728,77.246094
22019.317908,2.676393,784,1,36,256,1,1,57,16.000000,0.000000,,,,,"Tesla V100-DGXS-32GB (0)","1","7","volta_sgemm_32x128_nn",2506,56691859,75.015683,14450688,0.000000
22548.604389,0.865419,98,128,1,256,1,1,64,16.250000,0.000000,,,,,"Tesla V100-DGXS-32GB (0)","1","7","void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",2508,14450688,0.000000,6422528,48.242374
23060.107033,0.502931,200704,1,1,64,1,1,22,0.000000,0.000000,,,,,"Tesla V100-DGXS-32GB (0)","1","7","void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float, float>, at::detail::Array<char*, int=3>, OffsetCalculator<int=2, unsigned int, bool=0>, OffsetCalculator<int=1, unsigned int, bool=0>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, float, float, at::native::AddFunctor<float, float>, char*, int=3, at::detail::Array<char*, int=3>)",2513,6430151,0.117835,6422528,94.709062
23570.256865,0.501806,200704,1,1,64,1,1,18,0.000000,0.000000,,,,,"Tesla V100-DGXS-32GB (0)","1","7","_ZN2at6native29vectorized_elementwise_kernelILi4EZZZNS0_84_GLOBAL__N__60_tmpxft_00003bf5_00000000_13_TensorCompare_compute_86_cpp1_ii_d0af11f728clamp_min_scalar_kernel_implERNS_14TensorIteratorEN3c106ScalarEENKUlvE_clEvENKUlvE6_clEvEUlfE_NS_6detail5ArrayIPcLi2EEEEEviT0_T1_",2519,6422528,0.000000,6422528,97.251487
24077.992395,0.464521,50176,1,1,256,1,1,23,0.000000,0.000000,,,,,"Tesla V100-DGXS-32GB (0)","1","7","void at::native::_GLOBAL__N__63_tmpxft_00007dfa_00000000_13_DilatedMaxPool2d_compute_86_cpp1_ii_6258b574::max_pool_forward_nchw<float, float>(int, float const *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, at::native::_GLOBAL__N__63_tmpxft_00007dfa_00000000_13_DilatedMaxPool2d_compute_86_cpp1_ii_6258b574::max_pool_forward_nchw<float, float>*, long*)",2528,6877798,6.742972,4816896,0.000000
24581.836238,0.262561,32,128,1,256,1,1,64,22.125000,0.000000,,,,,"Tesla V100-DGXS-32GB (0)","1","7","void cudnn::winograd_nonfused::winogradForwardData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<float, float>)",2540,3603202,61.415569,3612672,0.000000
25086.716962,0.009744,4,32,1,32,8,1,32,9.000000,0.000000,,,,,"Tesla V100-DGXS-32GB (0)","1","7","void cudnn::winograd_nonfused::winogradForwardFilter4x4<float, float>(cudnn::winograd_nonfused::WinogradFilterParams<float, float>)",2541,36864,0.000000,147456,14.268663
25593.193055,1.338100,196,2,36,256,1,1,57,16.000000,0.000000,,,,,"Tesla V100-DGXS-32GB (0)","1","7","volta_sgemm_32x128_nn",2549,30344396,82.487409,7225344,0.000000
26137.840625,0.436351,32,256,1,256,1,1,64,16.250000,0.000000,,,,,"Tesla V100-DGXS-32GB (0)","1","7","void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",2551,7225344,0.000000,3211264,61.050882
26640.014092,0.254060,100352,1,1,64,1,1,22,0.000000,0.000000,,,,,"Tesla V100-DGXS-32GB (0)","1","7","void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float, float>, at::detail::Array<char*, int=3>, OffsetCalculator<int=2, unsigned int, bool=0>, OffsetCalculator<int=1, unsigned int, bool=0>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, float, float, at::native::AddFunctor<float, float>, char*, int=3, at::detail::Array<char*, int=3>)",2556,3218921,0.223740,3211264,99.288006
